member_code,member_type_detail
GEDC-022101000010101,队长
GEDC-022101000010102,队员
GEDC-022101000010103,队员
GEDC-022101000020101,队长
GEDC-022101000020102,队员
GEDC-022101000030101,队长
GEDC-022101000030102,队员
GEDC-022101000030103,队员
GEDC-022101000040101,队长
GEDC-022101000040102,队员
GEDC-022101000050101,队长
GEDC-022101000050102,队员
GEDC-022101000050103,队员
GEDC-022101000060101,队长
GEDC-022101000060102,队员
GEDC-022101000060103,队员
GEDC-022101000070101,队长
GEDC-022101000070102,队员
GEDC-022101000070103,队员
GEDC-022101000080101,队长
GEDC-022101000080102,队员
GEDC-022101000080103,队员
GEDC-022101000090101,队长
GEDC-022101000090102,队员
GEDC-022101000090103,队员
GEDC-022101000100101,队长
GEDC-022101000100102,队员
GEDC-022101000100103,队员
GEDC-022101000110101,队长
GEDC-022101000110102,队员
GEDC-022101000110103,队员
GEDC-022101000120101,队长
GEDC-022101000120102,队员
GEDC-022101000120103,队员
GEDC-022101000130101,队长
GEDC-022101000130102,队员
GEDC-022101000130103,队员
GEDC-022101000140101,队长
GEDC-022101000140102,队员
GEDC-022101000140103,队员
GEDC-022101000150101,队长
GEDC-022101000150102,队员
GEDC-022101000150103,队员
GEDC-022101000160101,队长
GEDC-022101000160102,队员
GEDC-022101000160103,队员
GEDC-022101000170101,队长
GEDC-022101000170102,队员
GEDC-022101000170103,队员
GEDC-022101000180101,队长
GEDC-022101000180102,队员
GEDC-022101000180103,队员
GEDC-022101000190101,队长
GEDC-022101000190102,队员
GEDC-022101000200101,队长
GEDC-022101000200102,队员
GEDC-022101000210101,队长
GEDC-022101000210102,队员
GEDC-022101000220101,队长
GEDC-022101000220102,队员
GEDC-022101000220103,队员
GEDC-022101000230101,队长
GEDC-022101000230102,队员
GEDC-022101000230103,队员
GEDC-022101000240101,队长
GEDC-022101000240102,队员
GEDC-022101000240103,队员
GEDC-022101000250101,队长
GEDC-022101000250102,队员
GEDC-022101000250103,队员
GEDC-022101000260101,队长
GEDC-022101000260102,队员
GEDC-022101000270101,队长
GEDC-022101000270102,队员
GEDC-022101000280101,队长
GEDC-022101000280102,队员
GEDC-022101000280103,队员
GEDC-022101000290101,队长
GEDC-022101000290102,队员
GEDC-022101000290103,队员
GEDC-022101000300101,队长
GEDC-022101000300102,队员
GEDC-022101000300103,队员
GEDC-022101000310101,队长
GEDC-022101000310102,队员
GEDC-022101000310103,队员
GEDC-022101000320101,队长
GEDC-022101000320102,队员
GEDC-022101000320103,队员
GEDC-022101000330101,队长
GEDC-022101000330102,队员
GEDC-022101000330103,队员
GEDC-022101000340101,队长
GEDC-022101000340102,队员
GEDC-022101000340103,队员
GEDC-022101000350101,队长
GEDC-022101000350102,队员
GEDC-022101000360101,队长
GEDC-022101000360102,队员
GEDC-022101000360103,队员
GEDC-022101000370101,队长
GEDC-022101000370102,队员
GEDC-022101000370103,队员
GEDC-022101000380101,队长
GEDC-022101000380102,队员
GEDC-022101000380103,队员
GEDC-022101000390101,队长
GEDC-022101000390102,队员
GEDC-022101000390103,队员
GEDC-022101000400101,队长
GEDC-022101000400102,队员
GEDC-022101000400103,队员
GEDC-022101000410101,队长
GEDC-022101000410102,队员
GEDC-022101000410103,队员
GEDC-022101000420101,队长
GEDC-022101000420102,队员
GEDC-022101000420103,队员
GEDC-022101000430101,队长
GEDC-022101000430102,队员
GEDC-022101000430103,队员
GEDC-022101000440101,队长
GEDC-022101000440102,队员
GEDC-022101000440103,队员
GEDC-022101000450101,队长
GEDC-022101000450102,队员
GEDC-022101000450103,队员
GEDC-022101000460101,队长
GEDC-022101000460102,队员
GEDC-022101000470101,队长
GEDC-022101000470102,队员
GEDC-022101000470103,队员
GEDC-022101000480101,队长
GEDC-022101000480102,队员
GEDC-022101000490101,队长
GEDC-022101000490102,队员
GEDC-022101000490103,队员
GEDC-022101000500101,队长
GEDC-022101000500102,队员
GEDC-022101000500103,队员
GEDC-022101000510101,队长
GEDC-022101000510102,队员
GEDC-022101000510103,队员
GEDC-022101000520101,队长
GEDC-022101000520102,队员
GEDC-022101000530101,队长
GEDC-022101000530102,队员
GEDC-022101000530103,队员
GEDC-022101000540101,队长
GEDC-022101000540102,队员
GEDC-022101000540103,队员
GEDC-022101000550101,队长
GEDC-022101000550102,队员
GEDC-022101000550103,队员
GEDC-022101000560101,队长
GEDC-022101000560102,队员
GEDC-022101000560103,队员
GEDC-022101000570101,队长
GEDC-022101000570102,队员
GEDC-022101000570103,队员
GEDC-022101000580101,队长
GEDC-022101000580102,队员
GEDC-022101000590101,队长
GEDC-022101000590102,队员
GEDC-022101000600101,队长
GEDC-022101000600102,队员
GEDC-022101000600103,队员
GEDC-022101000610101,队长
GEDC-022101000610102,队员
GEDC-022101000610103,队员
GEDC-022101000620101,队长
GEDC-022101000620102,队员
GEDC-022101000620103,队员
GEDC-022101000630101,队长
GEDC-022101000630102,队员
GEDC-022101000630103,队员
GEDC-022101000640101,队长
GEDC-022101000640102,队员
GEDC-022101000640103,队员
GEDC-022101000650101,队长
GEDC-022101000650102,队员
GEDC-022101000650103,队员
GEDC-022101000660101,队长
GEDC-022101000660102,队员
GEDC-022101000670101,队长
GEDC-022101000670102,队员
GEDC-022101000670103,队员
GEDC-022101000680101,队长
GEDC-022101000680102,队员
GEDC-022101000680103,队员
GEDC-022101000690101,队长
GEDC-022101000690102,队员
GEDC-022101000690103,队员
GEDC-022101000700101,队长
GEDC-022101000700102,队员
GEDC-022101000700103,队员
GEDC-022101000710101,队长
GEDC-022101000710102,队员
GEDC-022101000710103,队员
GEDC-022101000720101,队长
GEDC-022101000720102,队员
GEDC-022101000720103,队员
GEDC-022101000730101,队长
GEDC-022101000730102,队员
GEDC-022101000730103,队员
GEDC-022101000740101,队长
GEDC-022101000740102,队员
GEDC-022101000740103,队员
GEDC-022101000750101,队长
GEDC-022101000750102,队员
GEDC-022101000760101,队长
GEDC-022101000760102,队员
GEDC-022101000760103,队员
GEDC-022101000770101,队长
GEDC-022101000770102,队员
GEDC-022101000770103,队员
GEDC-022101000780101,队长
GEDC-022101000780102,队员
GEDC-022101000780103,队员
GEDC-022101000790101,队长
GEDC-022101000790102,队员
GEDC-022101000790103,队员
GEDC-022101000800101,队长
GEDC-022101000800102,队员
GEDC-022101000800103,队员
GEDC-022101000810101,队长
GEDC-022101000810102,队员
GEDC-022101000810103,队员
GEDC-022101000820101,队长
GEDC-022101000820102,队员
GEDC-022101000820103,队员
GEDC-022101000830101,队长
GEDC-022101000830102,队员
GEDC-022101000830103,队员
GEDC-022101000840101,队长
GEDC-022101000840102,队员
GEDC-022101000840103,队员
GEDC-022101000850101,队长
GEDC-022101000850102,队员
GEDC-022101000850103,队员
GEDC-022101000860101,队长
GEDC-022101000860102,队员
GEDC-022101000860103,队员
GEDC-022101000870101,队长
GEDC-022101000870102,队员
GEDC-022101000870103,队员
GEDC-022101000880101,队长
GEDC-022101000880102,队员
GEDC-022101000880103,队员
GEDC-022101000890101,队长
GEDC-022101000890102,队员
GEDC-022101000890103,队员
GEDC-022101000900101,队长
GEDC-022101000900102,队员
GEDC-022101000910101,队长
GEDC-022101000910102,队员
GEDC-022101000910103,队员
GEDC-022101000920101,队长
GEDC-022101000920102,队员
GEDC-022101000920103,队员
GEDC-022101000930101,队长
GEDC-022101000930102,队员
GEDC-022101000930103,队员
GEDC-022101000940101,队长
GEDC-022101000940102,队员
GEDC-022101000940103,队员
GEDC-022101000950101,队长
GEDC-022101000950102,队员
GEDC-022101000960101,队长
GEDC-022101000960102,队员
GEDC-022101000960103,队员
GEDC-022101000970101,队长
GEDC-022101000970102,队员
GEDC-022101000970103,队员
GEDC-022101000980101,队长
GEDC-022101000980102,队员
GEDC-022101000980103,队员
GEDC-022101000990101,队长
GEDC-022101000990102,队员
GEDC-022101000990103,队员
GEDC-022101001000101,队长
GEDC-022101001000102,队员
GEDC-022101001010101,队长
GEDC-022101001010102,队员
GEDC-022101001010103,队员
GEDC-022101001020101,队长
GEDC-022101001020102,队员
GEDC-022101001020103,队员
GEDC-022101001030101,队长
GEDC-022101001030102,队员
GEDC-022101001030103,队员
GEDC-022101001040101,队长
GEDC-022101001040102,队员
GEDC-022101001040103,队员
GEDC-022101001050101,队长
GEDC-022101001050102,队员
GEDC-022101001050103,队员
GEDC-022101001060101,队长
GEDC-022101001060102,队员
GEDC-022101001070101,队长
GEDC-022101001070102,队员
GEDC-022101001070103,队员
GEDC-022101001080101,队长
GEDC-022101001080102,队员
GEDC-022101001080103,队员
GEDC-022101001090101,队长
GEDC-022101001090102,队员
GEDC-022101001100101,队长
GEDC-022101001100102,队员
GEDC-022101001100103,队员
GEDC-022101001110101,队长
GEDC-022101001110102,队员
GEDC-022101001110103,队员
GEDC-022101001120101,队长
GEDC-022101001120102,队员
GEDC-022101001120103,队员
GEDC-022101001130101,队长
GEDC-022101001130102,队员
GEDC-022101001130103,队员
GEDC-022101001140101,队长
GEDC-022101001140102,队员
GEDC-022101001150101,队长
GEDC-022101001150102,队员
GEDC-022101001150103,队员
GEDC-022101001160101,队长
GEDC-022101001160102,队员
GEDC-022101001160103,队员
GEDC-022101001170101,队长
GEDC-022101001170102,队员
GEDC-022101001180101,队长
GEDC-022101001180102,队员
GEDC-022101001190101,队长
GEDC-022101001190102,队员
GEDC-022101001190103,队员
GEDC-022101001200101,队长
GEDC-022101001200102,队员
GEDC-022101001200103,队员
GEDC-022101001210101,队长
GEDC-022101001210102,队员
GEDC-022101001210103,队员
GEDC-022101001220101,队长
GEDC-022101001220102,队员
GEDC-022101001220103,队员
GEDC-022101001230101,队长
GEDC-022101001230102,队员
GEDC-022101001230103,队员
GEDC-022101001240101,队长
GEDC-022101001240102,队员
GEDC-022101001240103,队员
GEDC-022101001250101,队长
GEDC-022101001250102,队员
GEDC-022101001250103,队员
GEDC-022101001260101,队长
GEDC-022101001260102,队员
GEDC-022101001260103,队员
GEDC-022101001270101,队长
GEDC-022101001270102,队员
GEDC-022101001270103,队员
GEDC-022101001280101,队长
GEDC-022101001280102,队员
GEDC-022101001290101,队长
GEDC-022101001290102,队员
GEDC-022101001290103,队员
GEDC-022101001300101,队长
GEDC-022101001300102,队员
GEDC-022101001300103,队员
GEDC-022101001310101,队长
GEDC-022101001310102,队员
GEDC-022101001320101,队长
GEDC-022101001320102,队员
GEDC-022101001320103,队员
GEDC-022101001330101,队长
GEDC-022101001330102,队员
GEDC-022101001330103,队员
GEDC-022101001340101,队长
GEDC-022101001340102,队员
GEDC-022101001350101,队长
GEDC-022101001350102,队员
GEDC-022101001360101,队长
GEDC-022101001360102,队员
GEDC-022101001360103,队员
GEDC-022101001370101,队长
GEDC-022101001370102,队员
GEDC-022101001370103,队员
GEDC-022101001380101,队长
GEDC-022101001380102,队员
GEDC-022101001390101,队长
GEDC-022101001390102,队员
GEDC-022101001400101,队长
GEDC-022101001400102,队员
GEDC-022101001410101,队长
GEDC-022101001410102,队员
GEDC-022101001410103,队员
GEDC-022101001420101,队长
GEDC-022101001420102,队员
GEDC-022101001420103,队员
GEDC-022101001430101,队长
GEDC-022101001430102,队员
GEDC-022101001430103,队员
GEDC-022101001440101,队长
GEDC-022101001440102,队员
GEDC-022101001440103,队员
GEDC-022101001450101,队长
GEDC-022101001450102,队员
GEDC-022101001450103,队员
GEDC-022101001460101,队长
GEDC-022101001460102,队员
GEDC-022101001460103,队员
GEDC-022101001470101,队长
GEDC-022101001470102,队员
GEDC-022101001470103,队员
GEDC-022101001480101,队长
GEDC-022101001480102,队员
GEDC-022101001480103,队员
GEDC-022101001490101,队长
GEDC-022101001490102,队员
GEDC-022101001490103,队员
GEDC-022101001500101,队长
GEDC-022101001500102,队员
GEDC-022101001500103,队员
GEDC-022101001510101,队长
GEDC-022101001510102,队员
GEDC-022101001510103,队员
GEDC-022101001520101,队长
GEDC-022101001520102,队员
GEDC-022101001520103,队员
GEDC-022101001530101,队长
GEDC-022101001530102,队员
GEDC-022101001530103,队员
GEDC-022101001540101,队长
GEDC-022101001540102,队员
GEDC-022101001540103,队员
GEDC-022101001550101,队长
GEDC-022101001550102,队员
GEDC-022101001550103,队员
GEDC-022101001560101,队长
GEDC-022101001560102,队员
GEDC-022101001560103,队员
GEDC-022101001570101,队长
GEDC-022101001570102,队员
GEDC-022101001570103,队员
GEDC-022101001580101,队长
GEDC-022101001580102,队员
GEDC-022101001580103,队员
GEDC-022101001590101,队长
GEDC-022101001590102,队员
GEDC-022101001590103,队员
GEDC-022101001600101,队长
GEDC-022101001600102,队员
GEDC-022101001610101,队长
GEDC-022101001610102,队员
GEDC-022101001610103,队员
GEDC-022101001620101,队长
GEDC-022101001620102,队员
GEDC-022101001620103,队员
GEDC-022101001630101,队长
GEDC-022101001630102,队员
GEDC-022101001630103,队员
GEDC-022101001640101,队长
GEDC-022101001640102,队员
GEDC-022101001640103,队员
GEDC-022101001650101,队长
GEDC-022101001650102,队员
GEDC-022101001660101,队长
GEDC-022101001660102,队员
GEDC-022101001660103,队员
GEDC-022101001670101,队长
GEDC-022101001670102,队员
GEDC-022101001670103,队员
GEDC-022101001680101,队长
GEDC-022101001680102,队员
GEDC-022101001680103,队员
GEDC-022101001690101,队长
GEDC-022101001690102,队员
GEDC-022101001700101,队长
GEDC-022101001700102,队员
GEDC-022101001700103,队员
GEDC-022101001710101,队长
GEDC-022101001710102,队员
GEDC-022101001720101,队长
GEDC-022101001720102,队员
GEDC-022101001720103,队员
GEDC-022101001730101,队长
GEDC-022101001730102,队员
GEDC-022101001730103,队员
GEDC-022101001740101,队长
GEDC-022101001740102,队员
GEDC-022101001740103,队员
GEDC-022101001750101,队长
GEDC-022101001750102,队员
GEDC-022101001750103,队员
GEDC-022101001760101,队长
GEDC-022101001760102,队员
GEDC-022101001760103,队员
GEDC-022101001770101,队长
GEDC-022101001770102,队员
GEDC-022101001770103,队员
GEDC-022101001780101,队长
GEDC-022101001780102,队员
GEDC-022101001780103,队员
GEDC-022101001790101,队长
GEDC-022101001790102,队员
GEDC-022101001800101,队长
GEDC-022101001800102,队员
GEDC-022101001800103,队员
GEDC-022101001810101,队长
GEDC-022101001810102,队员
GEDC-022101001820101,队长
GEDC-022101001820102,队员
GEDC-022101001820103,队员
GEDC-022101001830101,队长
GEDC-022101001830102,队员
GEDC-022101001830103,队员
GEDC-022101001840101,队长
GEDC-022101001840102,队员
GEDC-022101001840103,队员
GEDC-022101001850101,队长
GEDC-022101001850102,队员
GEDC-022101001850103,队员
GEDC-022101001860101,队长
GEDC-022101001860102,队员
GEDC-022101001860103,队员
GEDC-022101001870101,队长
GEDC-022101001870102,队员
GEDC-022101001870103,队员
GEDC-022101001880101,队长
GEDC-022101001880102,队员
GEDC-022101001880103,队员
GEDC-022101001890101,队长
GEDC-022101001890102,队员
GEDC-022101001890103,队员
GEDC-022101001900101,队长
GEDC-022101001900102,队员
GEDC-022101001910101,队长
GEDC-022101001910102,队员
GEDC-022101001910103,队员
GEDC-022101001920101,队长
GEDC-022101001920102,队员
GEDC-022101001920103,队员
GEDC-022101001930101,队长
GEDC-022101001930102,队员
GEDC-022101001940101,队长
GEDC-022101001940102,队员
GEDC-022101001940103,队员
GEDC-022101001950101,队长
GEDC-022101001950102,队员
GEDC-022101001960101,队长
GEDC-022101001960102,队员
GEDC-022101001960103,队员
GEDC-022101001970101,队长
GEDC-022101001970102,队员
GEDC-022101001970103,队员
GEDC-022101001980101,队长
GEDC-022101001980102,队员
GEDC-022101001980103,队员
GEDC-022101001990101,队长
GEDC-022101001990102,队员
GEDC-022101001990103,队员
GEDC-022101002000101,队长
GEDC-022101002000102,队员
GEDC-022101002000103,队员
GEDC-022101002010101,队长
GEDC-022101002010102,队员
GEDC-022101002020101,队长
GEDC-022101002020102,队员
GEDC-022101002020103,队员
GEDC-022101002030101,队长
GEDC-022101002030102,队员
GEDC-022101002030103,队员
GEDC-022101002040101,队长
GEDC-022101002040102,队员
GEDC-022101002040103,队员
GEDC-022101002050101,队长
GEDC-022101002050102,队员
GEDC-022101002050103,队员
GEDC-022101002060101,队长
GEDC-022101002060102,队员
GEDC-022101002070101,队长
GEDC-022101002070102,队员
GEDC-022101002070103,队员
GEDC-022101002080101,队长
GEDC-022101002080102,队员
GEDC-022101002080103,队员
GEDC-022101002090101,队长
GEDC-022101002090102,队员
GEDC-022101002100101,队长
GEDC-022101002100102,队员
GEDC-022101002100103,队员
GEDC-022101002110101,队长
GEDC-022101002110102,队员
GEDC-022101002110103,队员
GEDC-022101002120101,队长
GEDC-022101002120102,队员
GEDC-022101002120103,队员
GEDC-022101002130101,队长
GEDC-022101002130102,队员
GEDC-022101002130103,队员
GEDC-022101002140101,队长
GEDC-022101002140102,队员
GEDC-022101002140103,队员
GEDC-022101002150101,队长
GEDC-022101002150102,队员
GEDC-022101002150103,队员
GEDC-022101002160101,队长
GEDC-022101002160102,队员
GEDC-022101002160103,队员
GEDC-022101002170101,队长
GEDC-022101002170102,队员
GEDC-022101002170103,队员
GEDC-022101002180101,队长
GEDC-022101002180102,队员
GEDC-022101002190101,队长
GEDC-022101002190102,队员
GEDC-022101002190103,队员
GEDC-022101002200101,队长
GEDC-022101002200102,队员
GEDC-022101002200103,队员
GEDC-022101002210101,队长
GEDC-022101002210102,队员
GEDC-022101002210103,队员
GEDC-022101002220101,队长
GEDC-022101002220102,队员
GEDC-022101002220103,队员
GEDC-022101002230101,队长
GEDC-022101002230102,队员
GEDC-022101002240101,队长
GEDC-022101002240102,队员
GEDC-022101002240103,队员
GEDC-022101002250101,队长
GEDC-022101002250102,队员
GEDC-022101002250103,队员
GEDC-022101002260101,队长
GEDC-022101002260102,队员
GEDC-022101002260103,队员
